Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;13;100,0;1;1;0;2;84,62;1;9;2;0;2;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;13;100,0;1;1;0;2;84,62;Totalt i retning Stjørdal;9;2;0;2;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;0;100,0;1;1;0;0;100,00;Totalt i retning Trondheim;0;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;13;100,0;1;1;0;2;84,62;Totalt;9;2;0;2;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;100,0;1;1;0;0;100,00;1;1;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;100,0;1;1;0;0;100,00;Totalt i retning Stjørdal;1;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;0;100,0;1;1;0;0;100,00;Totalt i retning Trondheim;0;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;100,0;1;1;0;0;100,00;Totalt;1;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;3;100,0;1;1;0;1;66,67;1;2;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;3;100,0;1;1;0;1;66,67;Totalt i retning Stjørdal;2;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;0;100,0;1;1;0;0;100,00;Totalt i retning Trondheim;0;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;3;100,0;1;1;0;1;66,67;Totalt;2;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;5;100,0;1;1;0;0;100,00;1;4;1;0;1;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;5;100,0;1;1;0;0;100,00;Totalt i retning Stjørdal;4;1;0;1;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;0;100,0;1;1;0;0;100,00;Totalt i retning Trondheim;0;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;5;100,0;1;1;0;0;100,00;Totalt;4;1;0;1;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;5;100,0;1;1;0;0;100,00;1;5;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;5;100,0;1;1;0;0;100,00;Totalt i retning Stjørdal;5;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;0;100,0;1;1;0;0;100,00;Totalt i retning Trondheim;0;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;5;100,0;1;1;0;0;100,00;Totalt;5;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;35;100,0;1;1;0;1;97,14;1;24;10;3;4;3;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;34;100,0;1;1;0;1;97,06;Totalt i retning Stjørdal;24;9;3;3;3;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;1;100,0;1;1;0;0;100,00;Totalt i retning Trondheim;0;1;0;1;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;35;100,0;1;1;0;1;97,14;Totalt;24;10;3;4;3;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;347;100,0;1;1;0;3;99,14;1;327;17;2;8;5;2;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;347;100,0;1;1;0;3;99,14;Totalt i retning Stjørdal;327;17;2;8;5;2;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;0;100,0;1;1;0;0;100,00;Totalt i retning Trondheim;0;0;0;0;0;0;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;347;100,0;1;1;0;3;99,14;Totalt;327;17;2;8;5;2;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T07:00+01:00;2020-02-25T08:00+01:00;2020-02-25;07:00;08:00;870;100,0;1;1;0;2;99,77;1;840;28;6;7;12;3;0
44210V2411509;Grillstadtunnelen til Rotvoll;EV6 S76D1 m6960 KD6 m100;2020-02-25T07:00+01:00;2020-02-25T08:00+01:00;2020-02-25;07:00;08:00;870;100,0;1;1;0;2;99,77;Totalt i retning Stjørdal;840;28;6;7;12;3;0
