Detector;Time;qPKW;vPKW
81077V72158_1;0;9;40
88356V72157_2;0;7;40
88356V72157_6;0;12;40
88356V72157_1;0;10;40
21801V72158_1;0;26;40
21801V72158_2;0;8;40
81077V72158_4;0;7;40
16219V72812_1;0;34;40
81077V72158_3;0;15;40
16219V72812_2;0;27;40
16219V72812_3;0;9;40
81077V72158_2;0;35;40
16219V72812_4;0;15;40
88356V72157_4;0;11;40
81077V72158_4;60;1;40
81077V72158_3;60;12;40
16219V72812_3;60;31;40
16219V72812_1;60;28;40
88356V72157_4;60;12;40
21801V72158_2;60;9;40
16219V72812_2;60;28;40
81077V72158_2;60;22;40
88356V72157_1;60;13;40
21801V72158_1;60;18;40
88356V72157_6;60;7;40
81077V72158_1;60;5;40
88356V72157_2;60;8;40
16219V72812_4;60;22;40
88356V72157_6;120;4;40
81077V72158_1;120;9;40
21801V72158_1;120;14;40
21801V72158_2;120;1;40
81077V72158_4;120;9;40
88356V72157_2;120;1;40
16219V72812_1;120;14;40
88356V72157_4;120;5;40
81077V72158_3;120;8;40
88356V72157_1;120;6;40
16219V72812_2;120;18;40
16219V72812_4;120;8;40
16219V72812_3;120;14;40
81077V72158_2;120;13;40
21801V72158_2;180;4;40
16219V72812_4;180;2;40
88356V72157_6;180;8;40
16219V72812_1;180;14;40
21801V72158_1;180;6;40
81077V72158_1;180;6;40
81077V72158_3;180;10;40
81077V72158_2;180;11;40
81077V72158_4;180;11;40
16219V72812_2;180;15;40
16219V72812_3;180;7;40
88356V72157_1;180;6;40
88356V72157_2;180;2;40
88356V72157_4;180;10;40
16219V72812_2;240;19;40
21801V72158_2;240;6;40
88356V72157_6;240;8;40
16219V72812_3;240;7;40
81077V72158_2;240;13;40
16219V72812_4;240;7;40
21801V72158_1;240;16;40
88356V72157_1;240;1;40
81077V72158_4;240;9;40
88356V72157_4;240;6;40
81077V72158_1;240;17;40
81077V72158_3;240;18;40
88356V72157_2;240;1;40
16219V72812_1;240;16;40
21801V72158_1;300;30;40
88356V72157_6;300;15;40
81077V72158_1;300;33;40
81077V72158_2;300;29;40
81077V72158_4;300;32;40
16219V72812_4;300;6;40
16219V72812_2;300;30;40
16219V72812_1;300;47;40
88356V72157_1;300;10;40
21801V72158_2;300;10;40
88356V72157_2;300;6;40
16219V72812_3;300;13;40
81077V72158_3;300;40;40
88356V72157_4;300;6;40
88356V72157_2;360;15;40
16219V72812_4;360;13;40
81077V72158_3;360;198;40
16219V72812_1;360;229;40
81077V72158_2;360;147;40
81077V72158_1;360;227;40
21801V72158_1;360;99;40
16219V72812_2;360;150;40
88356V72157_6;360;36;40
16219V72812_3;360;53;40
21801V72158_2;360;60;40
81077V72158_4;360;94;40
88356V72157_4;360;5;40
88356V72157_1;360;28;40
16219V72812_3;420;176;40
88356V72157_6;420;130;40
88356V72157_1;420;83;40
88356V72157_4;420;14;40
88356V72157_2;420;38;40
21801V72158_1;420;258;40
16219V72812_1;420;487;40
16219V72812_2;420;386;40
16219V72812_4;420;52;40
81077V72158_4;420;298;40
21801V72158_2;420;267;40
81077V72158_2;420;395;40
81077V72158_3;420;346;40
81077V72158_1;420;348;40
16219V72812_2;480;447;40
88356V72157_2;480;44;40
16219V72812_1;480;610;40
81077V72158_1;480;367;40
16219V72812_3;480;236;40
81077V72158_3;480;356;40
88356V72157_1;480;134;40
81077V72158_2;480;350;40
88356V72157_4;480;14;40
16219V72812_4;480;53;40
81077V72158_4;480;419;40
21801V72158_1;480;320;40
88356V72157_6;480;157;40
21801V72158_2;480;350;40
88356V72157_4;540;8;40
16219V72812_3;540;119;40
16219V72812_2;540;347;40
21801V72158_2;540;194;40
16219V72812_1;540;488;40
21801V72158_1;540;265;40
88356V72157_6;540;124;40
16219V72812_4;540;51;40
81077V72158_1;540;241;40
88356V72157_1;540;68;40
81077V72158_2;540;254;40
81077V72158_4;540;171;40
88356V72157_2;540;22;40
81077V72158_3;540;219;40
81077V72158_2;600;223;40
88356V72157_4;600;13;40
16219V72812_2;600;413;40
88356V72157_1;600;90;40
16219V72812_3;600;111;40
88356V72157_6;600;104;40
16219V72812_1;600;507;40
21801V72158_2;600;205;40
81077V72158_4;600;133;40
16219V72812_4;600;47;40
21801V72158_1;600;269;40
81077V72158_1;600;202;40
88356V72157_2;600;28;40
81077V72158_3;600;220;40
88356V72157_6;660;117;40
16219V72812_1;660;529;40
21801V72158_1;660;274;40
16219V72812_2;660;434;40
21801V72158_2;660;226;40
81077V72158_3;660;219;40
88356V72157_4;660;14;40
81077V72158_2;660;280;40
16219V72812_3;660;124;40
88356V72157_2;660;28;40
81077V72158_4;660;129;40
81077V72158_1;660;215;40
16219V72812_4;660;59;40
88356V72157_1;660;106;40
81077V72158_3;720;221;40
88356V72157_6;720;89;40
21801V72158_2;720;213;40
81077V72158_4;720;129;40
21801V72158_1;720;260;40
