Detector;Time;qPKW;vPKW
88356V72157_1;0;10;40
04300V72813_1;0;29;40
81077V72158_4;0;5;40
88356V72157_4;0;8;40
81077V72158_3;0;6;40
81077V72158_2;0;21;40
81077V72158_1;0;12;40
16219V72812_4;0;13;40
16219V72812_3;0;6;40
16219V72812_2;0;19;40
16219V72812_1;0;27;40
04211V1677432_1;0;9;40
27372V72852_2;0;18;40
27372V72852_1;0;14;40
10236V72161_4;0;20;40
04211V1677432_2;0;8;40
10236V72161_3;0;22;40
10236V72161_2;0;21;40
88356V72157_2;0;1;40
04300V72813_3;0;25;40
88356V72157_6;0;11;40
10236V72161_1;0;15;40
21801V72158_1;0;14;40
21801V72158_2;0;4;40
88356V72157_4;60;5;40
81077V72158_2;60;2;40
81077V72158_1;60;5;40
16219V72812_4;60;13;40
10236V72161_1;60;14;40
88356V72157_6;60;9;40
16219V72812_2;60;19;40
21801V72158_2;60;6;40
16219V72812_1;60;19;40
04211V1677432_1;60;3;40
27372V72852_2;60;9;40
27372V72852_1;60;12;40
10236V72161_4;60;16;40
04211V1677432_2;60;1;40
10236V72161_3;60;15;40
10236V72161_2;60;6;40
88356V72157_1;60;2;40
21801V72158_1;60;7;40
81077V72158_3;60;1;40
04300V72813_3;60;15;40
16219V72812_3;60;7;40
04300V72813_1;60;13;40
88356V72157_2;60;2;40
81077V72158_4;60;6;40
16219V72812_3;120;5;40
04300V72813_3;120;30;40
16219V72812_2;120;10;40
04300V72813_1;120;18;40
16219V72812_1;120;14;40
81077V72158_3;120;6;40
04211V1677432_1;120;4;40
27372V72852_2;120;4;40
27372V72852_1;120;12;40
10236V72161_4;120;19;40
88356V72157_2;120;2;40
04211V1677432_2;120;1;40
10236V72161_3;120;24;40
88356V72157_1;120;6;40
10236V72161_2;120;14;40
10236V72161_1;120;19;40
88356V72157_6;120;4;40
16219V72812_4;120;9;40
21801V72158_2;120;2;40
81077V72158_1;120;3;40
88356V72157_4;120;2;40
81077V72158_4;120;8;40
81077V72158_2;120;4;40
21801V72158_1;120;10;40
81077V72158_4;180;2;40
04211V1677432_1;180;5;40
27372V72852_2;180;7;40
16219V72812_4;180;4;40
27372V72852_1;180;8;40
81077V72158_2;180;5;40
10236V72161_4;180;15;40
21801V72158_1;180;8;40
88356V72157_1;180;4;40
04211V1677432_2;180;2;40
10236V72161_3;180;7;40
88356V72157_4;180;1;40
10236V72161_2;180;10;40
04300V72813_3;180;10;40
10236V72161_1;180;5;40
88356V72157_2;180;10;40
21801V72158_2;180;4;40
81077V72158_3;180;6;40
16219V72812_2;180;14;40
16219V72812_3;180;2;40
16219V72812_1;180;16;40
88356V72157_6;180;3;40
81077V72158_1;180;3;40
04300V72813_1;180;16;40
16219V72812_3;240;2;40
88356V72157_4;240;1;40
04211V1677432_2;240;13;40
10236V72161_3;240;2;40
88356V72157_6;240;3;40
88356V72157_1;240;3;40
10236V72161_2;240;6;40
16219V72812_4;240;4;40
10236V72161_1;240;4;40
81077V72158_4;240;39;40
81077V72158_3;240;12;40
04300V72813_3;240;18;40
81077V72158_2;240;6;40
21801V72158_2;240;2;40
88356V72157_2;240;30;40
81077V72158_1;240;12;40
04300V72813_1;240;13;40
21801V72158_1;240;8;40
27372V72852_1;240;5;40
16219V72812_1;240;18;40
04211V1677432_1;240;17;40
16219V72812_2;240;13;40
10236V72161_4;240;5;40
27372V72852_2;240;15;40
27372V72852_2;300;25;40
10236V72161_1;300;6;40
81077V72158_4;300;103;40
04300V72813_1;300;40;40
81077V72158_3;300;48;40
16219V72812_4;300;16;40
21801V72158_1;300;22;40
27372V72852_1;300;13;40
16219V72812_3;300;5;40
16219V72812_2;300;52;40
04300V72813_3;300;45;40
10236V72161_3;300;8;40
21801V72158_2;300;7;40
81077V72158_2;300;22;40
10236V72161_4;300;9;40
10236V72161_2;300;10;40
81077V72158_1;300;43;40
16219V72812_1;300;30;40
88356V72157_6;300;8;40
88356V72157_1;300;4;40
04211V1677432_1;300;81;40
04211V1677432_2;300;18;40
88356V72157_2;300;33;40
88356V72157_4;300;10;40
88356V72157_1;360;27;40
10236V72161_2;360;33;40
16219V72812_2;360;236;40
16219V72812_1;360;149;40
88356V72157_2;360;20;40
04300V72813_1;360;78;40
27372V72852_2;360;200;40
88356V72157_6;360;39;40
04211V1677432_2;360;199;40
10236V72161_3;360;9;40
04211V1677432_1;360;144;40
04300V72813_3;360;47;40
27372V72852_1;360;40;40
21801V72158_2;360;66;40
21801V72158_1;360;95;40
16219V72812_3;360;6;40
10236V72161_4;360;19;40
81077V72158_1;360;225;40
81077V72158_2;360;136;40
81077V72158_3;360;190;40
10236V72161_1;360;27;40
16219V72812_4;360;50;40
81077V72158_4;360;349;40
88356V72157_4;360;9;40
10236V72161_1;420;100;40
04211V1677432_2;420;280;40
88356V72157_4;420;10;40
81077V72158_1;420;377;40
27372V72852_2;420;500;40
21801V72158_2;420;301;40
81077V72158_3;420;372;40
88356V72157_1;420;95;40
10236V72161_3;420;46;40
21801V72158_1;420;278;40
04300V72813_3;420;108;40
04300V72813_1;420;223;40
