Detector,Time,qPKW
04300V72813_1,20,1
81077V72158_1,20,1
81077V72158_2,20,1
04211V1677432_1,40,1
04211V1677432_2,40,1
21801V72158_1,40,1
04300V72813_1,60,1
21801V72158_1,70,1
81077V72158_2,80,1
88356V72157_1,90,1
04300V72813_1,100,1
16219V72812_1,100,1
81077V72158_3,100,1
16219V72812_1,110,2
21801V72158_1,110,1
16219V72812_1,120,1
21801V72158_1,120,2
04300V72813_1,130,1
16219V72812_1,130,2
81077V72158_2,130,1
04300V72813_1,140,1
16219V72812_1,140,1
16219V72812_1,150,1
21801V72158_1,150,1
21801V72158_1,160,1
04300V72813_1,170,1
81077V72158_1,170,1
21801V72158_1,180,1
81077V72158_2,180,1
21801V72158_1,190,1
10236V72161_2,200,1
21801V72158_1,200,1
04300V72813_1,210,1
04300V72813_3,220,1
16219V72812_1,220,1
21801V72158_1,220,1
16219V72812_1,230,1
04300V72813_1,240,1
16219V72812_1,240,2
81077V72158_2,240,1
16219V72812_1,250,1
88356V72157_6,250,1
16219V72812_1,260,2
16219V72812_3,260,1
21801V72158_1,260,1
21801V72158_1,270,1
81077V72158_3,270,1
04211V1677432_1,280,1
04300V72813_1,280,1
04300V72813_3,280,1
16219V72812_2,280,1
21801V72158_1,280,1
16219V72812_2,290,2
81077V72158_2,290,1
16219V72812_1,300,1
88356V72157_6,300,1
16219V72812_2,310,1
04300V72813_1,320,1
16219V72812_2,320,1
81077V72158_1,320,1
04211V1677432_2,330,1
04300V72813_3,330,1
16219V72812_1,330,1
16219V72812_2,330,1
04300V72813_3,340,1
16219V72812_1,340,1
81077V72158_2,340,1
04300V72813_1,350,1
04300V72813_3,350,1
10236V72161_2,350,1
16219V72812_1,350,1
21801V72158_1,350,1
16219V72812_1,360,1
27372V72852_2,360,1
81077V72158_3,360,1
04300V72813_3,370,1
16219V72812_2,370,1
16219V72812_2,380,1
16219V72812_1,390,1
88356V72157_6,390,1
04300V72813_1,400,1
16219V72812_1,400,2
16219V72812_3,400,1
81077V72158_2,400,1
88356V72157_6,400,1
16219V72812_1,410,1
21801V72158_1,410,1
81077V72158_3,410,1
88356V72157_6,410,1
04300V72813_1,420,1
16219V72812_1,420,1
16219V72812_2,420,1
21801V72158_1,420,1
88356V72157_6,420,1
10236V72161_3,430,2
21801V72158_1,430,1
88356V72157_6,430,1
10236V72161_4,440,1
81077V72158_2,450,1
04300V72813_1,460,1
16219V72812_1,460,1
04300V72813_3,470,1
16219V72812_1,470,2
81077V72158_1,470,1
04211V1677432_1,480,1
04211V1677432_2,480,1
16219V72812_3,480,1
21801V72158_1,490,1
04300V72813_3,500,1
16219V72812_2,500,1
21801V72158_1,500,1
81077V72158_2,500,1
04300V72813_1,510,1
04300V72813_3,510,1
10236V72161_4,510,1
16219V72812_1,510,1
16219V72812_2,510,2
27372V72852_2,510,1
88356V72157_6,510,1
04300V72813_3,520,1
10236V72161_3,520,1
16219V72812_1,520,3
88356V72157_6,520,1
04300V72813_1,530,1
04300V72813_3,530,1
21801V72158_1,530,1
81077V72158_3,530,1
88356V72157_6,530,1
04300V72813_1,540,1
04300V72813_3,540,1
10236V72161_1,540,1
10236V72161_4,540,1
16219V72812_2,540,1
88356V72157_6,540,1
04300V72813_3,550,1
10236V72161_4,550,1
16219V72812_2,550,1
81077V72158_2,550,1
04300V72813_1,570,1
04300V72813_3,570,1
21801V72158_1,570,1
21801V72158_2,570,1
27372V72852_2,570,1
04300V72813_3,580,1
16219V72812_1,580,1
27372V72852_1,600,1
04300V72813_1,610,1
10236V72161_2,610,1
81077V72158_2,610,1
10236V72161_2,620,2
16219V72812_1,620,1
81077V72158_1,620,1
10236V72161_4,630,1
16219V72812_1,630,2
04300V72813_1,640,1
21801V72158_2,640,1
27372V72852_1,640,1
27372V72852_2,640,1
04300V72813_3,650,2
16219V72812_1,650,1
27372V72852_1,650,1
04300V72813_3,660,1
16219V72812_2,660,1
21801V72158_1,660,1
81077V72158_2,660,1
81077V72158_3,660,1
04300V72813_3,670,1
10236V72161_3,670,1
10236V72161_4,670,1
04300V72813_1,680,1
16219V72812_2,690,1
21801V72158_1,690,1
10236V72161_1,700,1
10236V72161_3,700,1
16219V72812_2,700,1
16219V72812_4,700,1
21801V72158_1,700,1
81077V72158_3,700,1
04211V1677432_2,710,1
04300V72813_3,710,1
10236V72161_1,710,1
21801V72158_1,710,1
81077V72158_2,710,1
88356V72157_1,710,1
88356V72157_6,710,1
04300V72813_1,720,1
04300V72813_3,720,1
10236V72161_2,720,1
16219V72812_1,720,1
16219V72812_2,720,1
21801V72158_1,720,1
27372V72852_2,720,1
04211V1677432_1,730,1
04300V72813_3,730,2
88356V72157_6,730,1
21801V72158_1,740,1
27372V72852_2,740,1
10236V72161_1,750,1
27372V72852_1,750,1
27372V72852_2,750,2
04300V72813_1,760,1
27372V72852_1,760,1
27372V72852_2,760,1
16219V72812_1,770,1
16219V72812_2,770,1
81077V72158_1,770,1
81077V72158_2,770,1
10236V72161_1,780,1
10236V72161_2,780,1
04300V72813_1,790,1
10236V72161_3,790,1
10236V72161_4,790,1
21801V72158_1,790,1
27372V72852_2,790,1
10236V72161_1,800,1
10236V72161_3,800,1
10236V72161_4,800,1
16219V72812_1,800,1
27372V72852_1,800,1
81077V72158_3,800,1
88356V72157_6,800,1
04300V72813_3,810,1
10236V72161_1,810,1
10236V72161_4,810,1
16219V72812_1,810,2
27372V72852_2,810,1
04300V72813_3,820,1
10236V72161_1,820,1
16219V72812_1,820,2
16219V72812_2,820,1
81077V72158_2,820,1
04300V72813_1,830,1
16219V72812_1,830,1
16219V72812_2,830,1
04300V72813_3,840,1
10236V72161_4,840,1
16219V72812_2,840,1
16219V72812_3,840,1
04300V72813_3,850,2
10236V72161_3,850,1
16219V72812_1,850,2
16219V72812_2,850,1
21801V72158_1,850,1
04300V72813_3,860,3
10236V72161_2,860,1
21801V72158_1,860,1
27372V72852_2,860,1
