Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;156;100,0;1;1;0;0;100,00;1;145;11;2;2;3;4;0
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;138;100,0;1;1;0;1;99,28;2;131;6;4;0;0;2;0
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;57;100,0;1;1;0;0;100,00;3;23;34;1;2;19;8;4
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;69;100,0;1;1;0;2;97,10;4;47;20;3;1;2;11;3
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;213;100,0;1;1;0;0;100,00;Totalt i retning Heimdal;168;45;3;4;22;12;4
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;207;100,0;1;1;0;3;98,55;Totalt i retning Sentrum;178;26;7;1;2;13;3
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;420;100,0;1;1;0;3;99,29;Totalt;346;71;10;5;24;25;7
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;151;100,0;1;1;0;0;100,00;1;145;6;5;0;0;1;0
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;111;100,0;1;1;0;0;100,00;2;110;1;1;0;0;0;0
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;49;100,0;1;1;0;0;100,00;3;36;13;2;0;2;9;0
