Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;39;100,0;1;1;0;0;100,00;1;38;1;1;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;40;100,0;1;1;0;0;100,00;2;40;0;0;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;137;100,0;1;1;0;0;100,00;3;122;15;3;0;4;3;5
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;97;100,0;1;1;0;0;100,00;4;91;6;2;1;2;0;1
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;176;100,0;1;1;0;0;100,00;Totalt i retning Stjørdal;160;16;4;0;4;3;5
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;137;100,0;1;1;0;0;100,00;Totalt i retning Trondheim;131;6;2;1;2;0;1
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;313;100,0;1;1;0;0;100,00;Totalt;291;22;6;1;6;3;6
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;29;100,0;1;1;0;0;100,00;1;28;1;1;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;36;100,0;1;1;0;0;100,00;2;36;0;0;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;98;100,0;1;1;0;0;100,00;3;94;4;0;2;2;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;81;100,0;1;1;0;0;100,00;4;77;4;0;0;0;4;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;127;100,0;1;1;0;0;100,00;Totalt i retning Stjørdal;122;5;1;2;2;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;117;100,0;1;1;0;0;100,00;Totalt i retning Trondheim;113;4;0;0;0;4;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;244;100,0;1;1;0;0;100,00;Totalt;235;9;1;2;2;4;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;25;100,0;1;1;0;0;100,00;1;24;1;0;1;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;34;100,0;1;1;0;0;100,00;2;32;2;1;1;0;0;0
