Detector;Time;qPKW;vPKW
21801V72158_1;0;135;40
10236V72161_2;0;79;40
10236V72161_3;0;82;40
10236V72161_4;0;88;40
27372V72852_1;0;104;40
27372V72852_2;0;78;40
88356V72157_1;0;34;40
88356V72157_2;0;7;40
88356V72157_4;0;5;40
88356V72157_6;0;31;40
21801V72158_2;0;44;40
81077V72158_1;0;24;40
81077V72158_3;0;39;40
81077V72158_4;0;20;40
04211V1677432_1;0;16;40
81077V72158_2;0;68;40
04211V1677432_2;0;17;40
04300V72813_3;0;96;40
04300V72813_1;0;99;40
16219V72812_4;0;80;40
16219V72812_3;0;29;40
16219V72812_2;0;167;40
10236V72161_1;0;85;40
16219V72812_1;0;169;40
16219V72812_1;60;161;40
04300V72813_3;60;83;40
10236V72161_2;60;71;40
81077V72158_4;60;15;40
10236V72161_3;60;67;40
04300V72813_1;60;99;40
10236V72161_4;60;119;40
04211V1677432_2;60;10;40
27372V72852_1;60;69;40
16219V72812_4;60;86;40
27372V72852_2;60;71;40
81077V72158_3;60;24;40
88356V72157_1;60;34;40
04211V1677432_1;60;12;40
88356V72157_2;60;5;40
88356V72157_4;60;9;40
16219V72812_2;60;114;40
88356V72157_6;60;26;40
81077V72158_2;60;39;40
10236V72161_1;60;74;40
16219V72812_3;60;50;40
81077V72158_1;60;21;40
21801V72158_2;60;55;40
21801V72158_1;60;108;40
81077V72158_4;120;17;40
10236V72161_2;120;90;40
81077V72158_3;120;31;40
21801V72158_1;120;130;40
04300V72813_3;120;98;40
88356V72157_6;120;9;40
81077V72158_1;120;19;40
21801V72158_2;120;42;40
88356V72157_4;120;6;40
10236V72161_3;120;79;40
88356V72157_2;120;5;40
88356V72157_1;120;21;40
27372V72852_2;120;87;40
27372V72852_1;120;104;40
04211V1677432_1;120;8;40
04211V1677432_2;120;11;40
81077V72158_2;120;45;40
10236V72161_4;120;92;40
16219V72812_3;120;56;40
16219V72812_4;120;141;40
10236V72161_1;120;56;40
16219V72812_2;120;111;40
04300V72813_1;120;113;40
16219V72812_1;120;167;40
27372V72852_2;180;42;40
88356V72157_1;180;12;40
27372V72852_1;180;46;40
88356V72157_2;180;5;40
16219V72812_3;180;31;40
10236V72161_3;180;60;40
10236V72161_1;180;64;40
21801V72158_2;180;22;40
88356V72157_4;180;2;40
16219V72812_4;180;64;40
04300V72813_3;180;73;40
21801V72158_1;180;60;40
04300V72813_1;180;56;40
04211V1677432_2;180;12;40
88356V72157_6;180;12;40
81077V72158_1;180;14;40
10236V72161_2;180;53;40
04211V1677432_1;180;12;40
81077V72158_3;180;19;40
16219V72812_1;180;96;40
10236V72161_4;180;65;40
81077V72158_2;180;22;40
81077V72158_4;180;4;40
16219V72812_2;180;50;40
81077V72158_4;240;3;40
27372V72852_2;240;9;40
27372V72852_1;240;23;40
04211V1677432_1;240;5;40
10236V72161_4;240;29;40
21801V72158_1;240;24;40
88356V72157_1;240;6;40
81077V72158_1;240;10;40
81077V72158_3;240;8;40
88356V72157_2;240;3;40
16219V72812_4;240;17;40
81077V72158_2;240;13;40
88356V72157_4;240;2;40
16219V72812_3;240;12;40
04211V1677432_2;240;9;40
88356V72157_6;240;8;40
04300V72813_3;240;28;40
16219V72812_2;240;20;40
16219V72812_1;240;42;40
21801V72158_2;240;3;40
04300V72813_1;240;35;40
10236V72161_1;240;22;40
10236V72161_3;240;22;40
10236V72161_2;240;25;40
27372V72852_1;300;9;40
04211V1677432_2;300;7;40
04211V1677432_1;300;6;40
81077V72158_4;300;6;40
81077V72158_3;300;10;40
10236V72161_2;300;17;40
81077V72158_2;300;16;40
27372V72852_2;300;13;40
10236V72161_1;300;13;40
81077V72158_1;300;10;40
04300V72813_3;300;22;40
88356V72157_6;300;3;40
88356V72157_4;300;9;40
88356V72157_1;300;6;40
88356V72157_2;300;1;40
10236V72161_3;300;13;40
21801V72158_2;300;3;40
16219V72812_1;300;22;40
16219V72812_2;300;23;40
04300V72813_1;300;25;40
16219V72812_4;300;12;40
21801V72158_1;300;7;40
10236V72161_4;300;11;40
16219V72812_3;300;4;40
27372V72852_2;360;31;40
81077V72158_2;360;36;40
88356V72157_4;360;6;40
81077V72158_3;360;27;40
04300V72813_3;360;10;40
04300V72813_1;360;16;40
81077V72158_4;360;17;40
81077V72158_1;360;25;40
16219V72812_3;360;4;40
88356V72157_2;360;2;40
04211V1677432_1;360;17;40
88356V72157_1;360;15;40
16219V72812_4;360;12;40
27372V72852_1;360;16;40
21801V72158_1;360;23;40
04211V1677432_2;360;16;40
10236V72161_3;360;9;40
10236V72161_4;360;7;40
10236V72161_1;360;6;40
16219V72812_1;360;31;40
21801V72158_2;360;8;40
16219V72812_2;360;38;40
10236V72161_2;360;16;40
88356V72157_6;360;19;40
21801V72158_2;420;23;40
88356V72157_4;420;6;40
88356V72157_2;420;4;40
04300V72813_1;420;34;40
88356V72157_1;420;24;40
10236V72161_3;420;12;40
04300V72813_3;420;19;40
88356V72157_6;420;25;40
81077V72158_1;420;42;40
16219V72812_4;420;13;40
10236V72161_4;420;12;40
16219V72812_1;420;65;40
16219V72812_2;420;72;40
04211V1677432_2;420;39;40
27372V72852_1;420;35;40
04211V1677432_1;420;23;40
21801V72158_1;420;47;40
10236V72161_1;420;10;40
81077V72158_4;420;70;40
81077V72158_2;420;52;40
27372V72852_2;420;43;40
16219V72812_3;420;8;40
10236V72161_2;420;26;40
81077V72158_3;420;60;40
81077V72158_2;480;97;40
16219V72812_1;480;82;40
10236V72161_1;480;33;40
04300V72813_3;480;35;40
16219V72812_4;480;24;40
04211V1677432_2;480;47;40
04300V72813_1;480;56;40
81077V72158_3;480;80;40
16219V72812_2;480;104;40
04211V1677432_1;480;49;40
88356V72157_4;480;4;40
21801V72158_1;480;58;40
81077V72158_4;480;54;40
88356V72157_2;480;13;40
81077V72158_1;480;67;40
88356V72157_6;480;23;40
16219V72812_3;480;6;40
10236V72161_2;480;42;40
10236V72161_4;480;11;40
27372V72852_2;480;51;40
27372V72852_1;480;57;40
21801V72158_2;480;57;40
10236V72161_3;480;16;40
88356V72157_1;480;19;40
04211V1677432_1;540;76;40
16219V72812_2;540;250;40
04300V72813_3;540;87;40
88356V72157_6;540;49;40
81077V72158_4;540;75;40
10236V72161_4;540;25;40
21801V72158_2;540;129;40
04211V1677432_2;540;88;40
21801V72158_1;540;121;40
88356V72157_4;540;5;40
16219V72812_3;540;10;40
16219V72812_1;540;139;40
27372V72852_1;540;91;40
10236V72161_1;540;46;40
88356V72157_1;540;29;40
81077V72158_2;540;119;40
10236V72161_2;540;81;40
81077V72158_3;540;143;40
04300V72813_1;540;74;40
10236V72161_3;540;32;40
16219V72812_4;540;45;40
88356V72157_2;540;23;40
81077V72158_1;540;134;40
27372V72852_2;540;155;40
81077V72158_1;600;229;40
88356V72157_6;600;69;40
16219V72812_4;600;54;40
81077V72158_4;600;158;40
21801V72158_1;600;163;40
81077V72158_2;600;232;40
04300V72813_1;600;123;40
10236V72161_2;600;98;40
27372V72852_2;600;199;40
10236V72161_4;600;27;40
04211V1677432_1;600;125;40
16219V72812_3;600;9;40
27372V72852_1;600;118;40
21801V72158_2;600;164;40
10236V72161_1;600;64;40
16219V72812_2;600;334;40
81077V72158_3;600;222;40
04300V72813_3;600;106;40
88356V72157_4;600;5;40
88356V72157_1;600;57;40
04211V1677432_2;600;138;40
16219V72812_1;600;184;40
88356V72157_2;600;28;40
10236V72161_3;600;38;40
16219V72812_2;660;505;40
10236V72161_2;660;145;40
27372V72852_2;660;292;40
88356V72157_2;660;36;40
16219V72812_4;660;103;40
04300V72813_1;660;180;40
81077V72158_2;660;331;40
88356V72157_1;660;100;40
21801V72158_1;660;252;40
81077V72158_3;660;263;40
10236V72161_3;660;66;40
04300V72813_3;660;188;40
81077V72158_1;660;252;40
10236V72161_4;660;32;40
27372V72852_1;660;237;40
21801V72158_2;660;214;40
16219V72812_1;660;290;40
10236V72161_1;660;99;40
81077V72158_4;660;122;40
88356V72157_4;660;8;40
16219V72812_3;660;18;40
04211V1677432_1;660;124;40
04211V1677432_2;660;184;40
88356V72157_6;660;105;40
16219V72812_2;720;675;40
16219V72812_4;720;182;40
88356V72157_1;720;134;40
10236V72161_1;720;130;40
16219V72812_3;720;21;40
88356V72157_4;720;8;40
81077V72158_4;720;122;40
21801V72158_2;720;293;40
10236V72161_3;720;101;40
21801V72158_1;720;303;40
04300V72813_1;720;188;40
81077V72158_1;720;267;40
81077V72158_2;720;353;40
10236V72161_4;720;51;40
27372V72852_1;720;247;40
88356V72157_6;720;119;40
27372V72852_2;720;360;40
10236V72161_2;720;187;40
04211V1677432_1;720;134;40
04300V72813_3;720;203;40
04211V1677432_2;720;190;40
81077V72158_3;720;283;40
88356V72157_2;720;39;40
16219V72812_1;720;373;40
16219V72812_2;780;570;40
27372V72852_1;780;328;40
81077V72158_2;780;398;40
04300V72813_3;780;217;40
